RegionID,RegionName,City,CountyName,Price
71056,30338,Dunwoody,Dekalb County,400637.6477
71057,30339,Vinings,Cobb County,282105.4883
71058,30340,Atlanta,Dekalb County,162993.2176
71059,30341,Chamblee,Dekalb County,247177.1086
71060,30342,Sandy Springs,Fulton County,484389.5743
71062,30344,East Point,Fulton County,68245.18635
71063,30345,Atlanta,Dekalb County,356729.5513
71064,30346,Dunwoody,Dekalb County,283965.8775
71070,30354,Atlanta,Fulton County,64662.93856
71076,30360,Dunwoody,Dekalb County,227693.795
71079,30363,Atlanta,Fulton County,209865.9957
71023,30303,Atlanta,Fulton County,113596.9788
71025,30305,Atlanta,Fulton County,452817.9749
71026,30306,Atlanta,Fulton County,511175.778
71027,30307,Atlanta,Dekalb County,416910.4414
71028,30308,Atlanta,Fulton County,215126.3239
71029,30309,Atlanta,Fulton County,275157.1781
71030,30310,Atlanta,Fulton County,56231.17713
71031,30311,Atlanta,Fulton County,65441.62468
71032,30312,Atlanta,Fulton County,220201.3006
71033,30313,Atlanta,Fulton County,174030.9957
71034,30314,Atlanta,Fulton County,36807.13562
71035,30315,Atlanta,Fulton County,67141.73375
71036,30316,Atlanta,Dekalb County,175179.1245
71037,30317,Atlanta,Dekalb County,248192.819
71038,30318,Atlanta,Fulton County,152180.4177
71039,30319,Brookhaven,Dekalb County,433020.8701
71043,30324,Atlanta,Fulton County,311502.8204
71045,30326,Atlanta,Fulton County,332316.5852
71046,30327,Atlanta,Fulton County,831069.7497
71047,30328,Sandy Springs,Fulton County,326055.6731
71048,30329,Atlanta,Dekalb County,296725.0597
71055,30337,College Park,Fulton County,118554.6183
71056,30338,Dunwoody,Dekalb County,402607.3805
71057,30339,Vinings,Cobb County,283637.3476
71058,30340,Atlanta,Dekalb County,164506.2684
71059,30341,Chamblee,Dekalb County,249468.0189
71060,30342,Sandy Springs,Fulton County,488350.0132
71062,30344,East Point,Fulton County,68930.65798
71063,30345,Atlanta,Dekalb County,359603.1335
71064,30346,Dunwoody,Dekalb County,287998.2415
71070,30354,Atlanta,Fulton County,65088.83432
71076,30360,Dunwoody,Dekalb County,229808.7618
71079,30363,Atlanta,Fulton County,213411.7126
71023,30303,Atlanta,Fulton County,115392.5295
